index,company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls
8784,SurBTC,surbtc,surbtc.com,https://surbtc.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://surbtc.com/careers | http://www.surbtc.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8785,Syrenaica,syrenaica,syrenaica.com,https://syrenaica.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://syrenaica.com/careers | http://www.syrenaica.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8786,Tabacus Initative,tabacusinitative,tabacusinitiative.com,https://tabacusinitiative.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tabacusinitiative.com/careers | http://www.tabacusinitiative.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8787,Talaentia,talaentia,talaentia.com,https://talaentia.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://talaentia.com/careers | http://www.talaentia.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8788,Talento al Aula,talentoalaula,talentoalaula.cl,https://talentoalaula.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://talentoalaula.cl/careers | http://www.talentoalaula.cl | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8789,Taumatropo Animation,taumatropoanimation,taumatropo.com,https://taumatropo.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://taumatropo.com/careers | http://www.taumatropo.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8790,Teamscope,teamscope,teamscope.co,https://teamscope.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://teamscope.co/careers | http://teamscope.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8791,Terviu,terviu,terviu.com,https://terviu.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://terviu.com/careers | http://www.terviu.com/en | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8792,The Innovation Arb,theinnovationarb,innovationarb.com,https://innovationarb.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://innovationarb.com/careers | http://innovationarb.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8793,Thinker Thing,thinkerthing,thinkerthing.com,https://thinkerthing.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://thinkerthing.com/careers | http://thinkerthing.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8794,Tiempo Listo,tiempolisto,tiempolisto.com,https://tiempolisto.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tiempolisto.com/careers | http://www.tiempolisto.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8795,TimePoints,timepoints,timepoints.cl,https://timepoints.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://timepoints.cl/careers | http://www.timepoints.cl/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8796,TinyBytes,tinybytes,tinybytes.biz,https://tinybytes.biz/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tinybytes.biz/careers | http://www.tinybytes.biz/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8797,Tomo Clases,tomoclases,tomoclases.com,https://tomoclases.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tomoclases.com/careers | http://www.tomoclases.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8798,Traak Ltda.,traakltda,traak.cl,https://traak.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://traak.cl/careers | http://traak.cl | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8799,TrabajoPanel,trabajopanel,trabajopanel.com,https://trabajopanel.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://trabajopanel.com/careers | http://www.trabajopanel.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8800,TraktoPRO,traktopro,traktopro.com,https://traktopro.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://traktopro.com/careers | http://traktopro.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8801,treadalong,treadalong,treadalong.com,https://treadalong.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://treadalong.com/careers | http://www.treadalong.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8802,TrendingGames,trendinggames,gobiernodechilegames.cl,https://gobiernodechilegames.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://gobiernodechilegames.cl/careers | http://www.gobiernodechilegames.cl | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8803,Trovali,trovali,trovali.com,https://trovali.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://trovali.com/careers | http://www.trovali.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8804,Trudev,trudev,trudev.co,https://trudev.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://trudev.co/careers | http://trudev.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8805,TrumpIT,trumpit,trumpit.co,https://trumpit.co/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://trumpit.co/careers | http://www.trumpit.co | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8806,TuCreaz.com Application,tucreazcomapplication,tucreaz.com,https://tucreaz.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tucreaz.com/careers | http://www.tucreaz.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8807,Tumotorizado.com,tumotorizadocom,tumotorizado.com,https://tumotorizado.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tumotorizado.com/careers | https://tumotorizado.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8808,TuTanda,tutanda,tutanda.com,https://tutanda.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://tutanda.com/careers | http://www.tutanda.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8809,U-Planner.com,uplannercom,u-planner.com,https://u-planner.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://u-planner.com/careers | http://www.u-planner.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8810,Uanbai,uanbai,uanbai.com,https://uanbai.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://uanbai.com/careers | http://www.uanbai.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8811,UnFlete.com,unfletecom,unflete.com,https://unflete.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://unflete.com/careers | http://unflete.com/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8812,Vendobots,vendobots,vendobots.com,https://vendobots.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://vendobots.com/careers | http://www.vendobots.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8813,ViperMed,vipermed,vipermed.uy,https://vipermed.uy/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://vipermed.uy/careers | http://vipermed.uy/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8814,VISUAL NACERT,visualnacert,visualnacert.com,https://visualnacert.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://visualnacert.com/careers | http://www.visualnacert.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8815,Vite,vite,vitenow.com,https://vitenow.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://vitenow.com/careers | http://www.vitenow.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8816,VoxPop,voxpop,voxpop.cl,https://voxpop.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://voxpop.cl/careers | http://voxpop.cl | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8817,WeHealth,wehealth,wehealthblog.com,https://wehealthblog.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://wehealthblog.com/careers | http://wehealthblog.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8818,Welcu,welcu,welcu.com,https://welcu.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://welcu.com/careers | http://welcu.com/en | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8819,Wikirin,wikirin,wikirin.com,https://wikirin.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://wikirin.com/careers | http://www.wikirin.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8820,Wind Energy Solutions,windenergysolutions,we-s.cl,https://we-s.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://we-s.cl/careers | http://www.we-s.cl/ | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8821,WITOI,witoi,witoi.com,https://witoi.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://witoi.com/careers | http://witoi.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8822,Wivo,wivo,wivo.cl,https://wivo.cl/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://wivo.cl/careers | http://www.wivo.cl | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8823,Work4ce.me,work4ceme,work4ce.me,https://work4ce.me/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://work4ce.me/careers | http://work4ce.me/es/home | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8824,Yagantec,yagantec,kalakai.com,https://kalakai.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://kalakai.com/careers | http://www.kalakai.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8825,Yebame SpA,yebamespa,yeba.me,https://yeba.me/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://yeba.me/careers | http://www.yeba.me | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8826,Ynnovable Design,ynnovabledesign,ynnovabledesign.com,https://ynnovabledesign.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://ynnovabledesign.com/careers | http://www.ynnovabledesign.com/en | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
8827,Yoozon,yoozon,yoozon.com,https://yoozon.com/careers,company-site,NEEDS_REVIEW,1,0,0,company-site,COMPANY_HTML,0,0,0,,True,https://yoozon.com/careers | http://www.yoozon.com | https://github.com/notpeter/crunchbase-data/blob/master/companies.csv
